########################### min_rats = 5:

k = 384, l_b =  3.00, l_f =  8.50, beta = 0.1, results: counter =   3, max_norm_diff =   16.18, valid_rmse = 1.602181, valid_ndcg = 0.007521
k = 384, l_b =  3.00, l_f =  9.00, beta = 0.1, results: counter =   3, max_norm_diff =   15.50, valid_rmse = 1.602084, valid_ndcg = 0.007097
k = 384, l_b =  3.00, l_f =  9.50, beta = 0.1, results: counter =   6, max_norm_diff =    4.26, valid_rmse = 1.599070, valid_ndcg = 0.006471
k = 384, l_b =  3.00, l_f = 10.00, beta = 0.1, results: counter =   6, max_norm_diff =    4.01, valid_rmse = 1.599277, valid_ndcg = 0.005828
k = 384, l_b =  3.00, l_f = 10.50, beta = 0.1, results: counter =   6, max_norm_diff =    3.76, valid_rmse = 1.599494, valid_ndcg = 0.005436
k = 384, l_b =  3.00, l_f = 11.00, beta = 0.1, results: counter =   4, max_norm_diff =    6.76, valid_rmse = 1.600284, valid_ndcg = 0.005066
k = 384, l_b =  3.00, l_f = 11.50, beta = 0.1, results: counter =   4, max_norm_diff =    6.39, valid_rmse = 1.600475, valid_ndcg = 0.004692



########################### min_rats = 3:
###
k3='  1', l_b3='4.5', l_f4='27  ', results: counter3=' 15', max_norm_diff8='0.1016935  ', valid_rmse8='1.56677998 ', valid_rmse_diff12='8.65678e-06 '
###
###
k3='  2', l_b3='4.4', l_f4='21  ', results: counter3=' 28', max_norm_diff8='0.12487076 ', valid_rmse8='1.56645256 ', valid_rmse_diff12='9.911868e-06'
###
###
k3='  4', l_b3='4.4', l_f4='24.5', results: counter3=' 15', max_norm_diff8='0.13439332 ', valid_rmse8='1.56670286 ', valid_rmse_diff12='7.370491e-06'
###
###
k3='  8', l_b3='4.4', l_f4='20  ', results: counter3=' 10', max_norm_diff8='0.63118009 ', valid_rmse8='1.56653033 ', valid_rmse_diff12='4.470497e-06'
###
###
k3=' 16', l_b3='4.4', l_f4='20.5', results: counter3=' 12', max_norm_diff8='0.43161113 ', valid_rmse8='1.56644762 ', valid_rmse_diff12='3.964072e-06'
###
###
k3=' 32', l_b3='4.3', l_f4='15  ', results: counter3='  8', max_norm_diff8='1.77988309 ', valid_rmse8='1.56557968 ', valid_rmse_diff12='3.039806e-05'
###
###
k3=' 64', l_b3='4.2', l_f4='12  ', results: counter3=' 10', max_norm_diff8='2.14220969 ', valid_rmse8='1.56622278 ', valid_rmse_diff12='7.473817e-06'
###
###
k3='128', l_b3='4.2', l_f4='11.5', results: counter3=' 10', max_norm_diff8='2.23577819 ', valid_rmse8='1.56521474 ', valid_rmse_diff12='1.9182945e-05'
###
###
k3='256', l_b3='4  ', l_f4='10  ', results: counter3='  8', max_norm_diff8='3.48584364 ', valid_rmse8='1.56452992 ', valid_rmse_diff12='7.199337e-06'
###
###
k = 384, l_b =  4.00, l_f =  9.50, results: counter =   8, max_norm_diff = 3.71         , valid_rmse = 1.56385632,   valid_rmse_diff = 2.8e-05
###

k3='512', l_b3='4  ', l_f4='9   ', results: counter3='  7', max_norm_diff8='4.65027425 ', valid_rmse8='1.56365951 ', valid_rmse_diff12='4.2779299e-05'


# MISTAKES IN TUNING:
# k =  32, l_b = 4.30, l_f = 15.00, results: counter =   8, max_norm_diff = 1.78, valid_rmse = 1.56558414, valid_rmse_diff = 3e-05
# k =  32, l_b = 4.40, l_f = 15.00, results: counter =   8, max_norm_diff = 1.78, valid_rmse = 1.56558890, valid_rmse_diff = 3e-05
# k =  32, l_b = 4.20, l_f = 15.00, results: counter =   8, max_norm_diff = 1.78, valid_rmse = 1.56560113, valid_rmse_diff = 3.1e-05
# k =  32, l_b = 4.30, l_f = 14.50, results: counter =   8, max_norm_diff = 1.92, valid_rmse = 1.56558034, valid_rmse_diff = 3.7e-05
# k =  32, l_b = 4.30, l_f = 15.50, results: counter =   8, max_norm_diff = 1.65, valid_rmse = 1.56562147, valid_rmse_diff = 2.7e-05

# Full model - testing
# smaller test_rmse?
# k =   1: True
# k =   2: False
# k =   4: True
# k =   8: True
# k =  16: True
# k =  32: True
# k =  64: True
# k = 128: True
# k = 256: True
# k = 384: True

# --------------------------------------------------------------------
# seed = 103
# global mean                           test_rmse = 1.8087624016357353
# only biases                           test_rmse = 1.5704328421158182
# k = 1,   l_bias = 4.5, l_fact = 24,   test_rmse = 1.5704970647787702
# k = 2,   l_bias = 4.5, l_fact = 18.5, test_rmse = 1.5717291565825728
# k = 4,   l_bias = 4.6, l_fact = 25,   test_rmse = 1.5703045287839543
# k = 8,   l_bias = 4.4, l_fact = 20,   test_rmse = 1.5702971262712437
# k = 16,  l_bias = 4.3, l_fact = 14.7, test_rmse = 1.5717814048614096
# k = 32,  l_bias = 4.3, l_fact = 13.7, test_rmse = 1.5699819711228356
# k = 256, l_bias = 4,   l_fact = 10,   test_rmse = 1.568533842304493
# k = 512, l_bias = 3.9, l_fact = 10,   test_rmse = 1.5690911174883715
